country,iso,co2_per_capita,income_group,continent
Afghanistan,AFG,0.25,Low income,Asia
Albania,ALB,1.57,Upper middle income,Europe
Algeria,DZA,4.39,Upper middle income,Africa
Andorra,AND,5.17,High income,Europe
Angola,AGO,0.59,Lower middle income,Africa
Antigua and Barbuda,ATG,6.86,High income,Americas
Argentina,ARG,3.92,Upper middle income,Americas
Armenia,ARM,2.52,Upper middle income,Europe
Australia,AUS,14.53,High income,Asia
Austria,AUT,6.23,High income,Europe
Azerbaijan,AZE,4.14,Upper middle income,Europe
Bahamas,BHS,7.4,High income,Americas
Bahrain,BHR,24.71,High income,Middle East
Bangladesh,BGD,0.61,Lower middle income,Asia
Barbados,BRB,4.66,High income,Americas
Belarus,BLR,6.11,Upper middle income,Europe
Belgium,BEL,7.23,High income,Europe
Belize,BLZ,1.86,Upper middle income,Americas
Benin,BEN,0.42,Lower middle income,Africa
Bhutan,BTN,2.07,Lower middle income,Asia
Bolivia,BOL,2.01,Lower middle income,Americas
Bosnia and Herzegovina,BIH,6.24,Upper middle income,Europe
Botswana,BWA,2.92,Upper middle income,Africa
Brazil,BRA,2.29,Upper middle income,Americas
Brunei,BRN,27.24,High income,Asia
Bulgaria,BGR,5.08,High income,Europe
Burkina Faso,BFA,0.27,Low income,Africa
Burundi,BDI,0.07,Low income,Africa
Cambodia,KHM,1.23,Lower middle income,Asia
Cameroon,CMR,0.34,Lower middle income,Africa
Canada,CAN,13.88,High income,Americas
Cape Verde,CPV,1.09,Upper middle income,Africa
Central African Republic,CAF,0.08,Low income,Africa
Chad,TCD,0.15,Low income,Africa
Chile,CHL,3.95,High income,Americas
China,CHN,8.56,Upper middle income,Asia
Colombia,COL,1.72,Upper middle income,Americas
Comoros,COM,0.64,Lower middle income,Africa
Congo,COG,1.34,Lower middle income,Africa
Costa Rica,CRI,1.66,High income,Americas
Cote d'Ivoire,CIV,0.45,Lower middle income,Africa
Croatia,HRV,4.74,High income,Europe
Cuba,CUB,2.13,Upper middle income,Americas
Cyprus,CYP,5.34,High income,Europe
Czechia,CZE,7.7,High income,Europe
Democratic Republic of Congo,COD,0.06,Low income,Africa
Denmark,DNK,4.85,High income,Europe
Djibouti,DJI,0.48,Lower middle income,Africa
Dominica,DMA,2.47,Upper middle income,Americas
Dominican Republic,DOM,2.81,Upper middle income,Americas
East Timor,TLS,0.46,Lower middle income,Asia
Ecuador,ECU,2.48,Upper middle income,Americas
Egypt,EGY,2.19,Lower middle income,Africa
El Salvador,SLV,1.37,Upper middle income,Americas
Equatorial Guinea,GNQ,3.74,Upper middle income,Africa
Eritrea,ERI,0.21,Low income,Africa
Estonia,EST,6.4,High income,Europe
Eswatini,SWZ,0.84,Lower middle income,Africa
Ethiopia,ETH,0.14,Low income,Africa
Fiji,FJI,1.5,Upper middle income,Asia
Finland,FIN,5.68,High income,Europe
France,FRA,4.07,High income,Europe
Gabon,GAB,2.14,Upper middle income,Africa
