"country","median_wealth_usd","mean_wealth_usd","continent"
"Albania",17280,34839,"Europe"
"Algeria",3226,12491,"Africa"
"Angola",1716,5418,"Africa"
"Antigua and Barbuda",8916,30634,"Latin America & Caribbean"
"Argentina",4354,13323,"Latin America & Caribbean"
"Armenia",14215,34988,"Asia"
"Aruba",18428,61622,"Latin America & Caribbean"
"Australia",247453,496819,"Oceania"
"Austria",68492,245225,"Europe"
"Azerbaijan",9209,21578,"Asia"
"Bahamas",10885,72971,"Latin America & Caribbean"
"Bahrain",13904,84313,"Asia"
"Bangladesh",3842,9796,"Asia"
"Barbados",31436,91291,"Latin America & Caribbean"
"Belarus",18466,34835,"Europe"
"Belgium",249937,352814,"Europe"
"Belize",3928,14966,"Latin America & Caribbean"
"Benin",922,2823,"Africa"
"Bolivia",4913,14222,"Latin America & Caribbean"
"Bosnia and Herzegovina",16484,33593,"Europe"
"Botswana",3591,16567,"Africa"
"Brazil",5702,29452,"Latin America & Caribbean"
"Brunei",6983,39908,"Asia"
"Bulgaria",22759,47074,"Europe"
"Burkina Faso",563,1713,"Africa"
"Burundi",453,947,"Africa"
"Cambodia",2185,6036,"Asia"
"Cameroon",910,3271,"Africa"
"Canada",137633,369577,"North America"
"Central African Republic",260,952,"Africa"
"Chad",483,1297,"Africa"
"Chile",19544,54082,"Latin America & Caribbean"
"China",27273,75731,"Asia"
"Colombia",4450,15464,"Latin America & Caribbean"
"Comoros",1256,5285,"Africa"
"DR Congo",492,1662,"Africa"
"Congo",380,1465,"Africa"
"Costa Rica",19356,55545,"Latin America & Caribbean"
"Croatia",34837,70461,"Europe"
"Cyprus",40957,158321,"Asia"
"Czech Republic",23502,90393,"Europe"
"Denmark",186041,409954,"Europe"
"Djibouti",1285,3853,"Africa"
"Dominica",13789,44406,"Latin America & Caribbean"
"Ecuador",7610,21650,"Latin America & Caribbean"
"Egypt",6656,20195,"Africa"
"El Salvador",15049,47422,"Latin America & Caribbean"
"Equatorial Guinea",7501,30333,"Africa"
"Eritrea",1431,3688,"Africa"
"Estonia",39586,78777,"Europe"
"Ethiopia",2124,4905,"Africa"
"Fiji",5950,17998,"Oceania"
"Finland",84093,179986,"Europe"
"France",133137,312235,"Europe"
"Gabon",5487,16217,"Africa"
"Gambia",735,2996,"Africa"
"Georgia",9451,28169,"Asia"
"Germany",66735,256179,"Europe"
