show,season,episode,name,rating
Breaking Bad,1,1,Pilot,8.2
Breaking Bad,1,2,Cat's in the Bag...,7.9
Breaking Bad,1,3,...and the Bag's in the River,8.1
Breaking Bad,1,4,Cancer Man,7.5
Breaking Bad,1,5,Gray Matter,7.7
Breaking Bad,1,6,Crazy Handful of Nothin',8.8
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,8
Breaking Bad,2,1,Seven Thirty-Seven,7.9
Breaking Bad,2,2,Grilled,8.3
Breaking Bad,2,3,Bit by a Dead Bee,7.9
Breaking Bad,2,4,Down,7.5
Breaking Bad,2,5,Breakage,7.9
Breaking Bad,2,6,Peekaboo,8.2
Breaking Bad,2,7,Negro Y Azul,8.1
Breaking Bad,2,8,Better Call Saul,8.7
Breaking Bad,2,9,4 Days Out,8.4
Breaking Bad,2,10,Over,8
Breaking Bad,2,11,Mandala,8
Breaking Bad,2,12,Phoenix,8.8
Breaking Bad,2,13,ABQ,8.3
Breaking Bad,3,1,No Más,7.8
Breaking Bad,3,2,Caballo sin Nombre,8
Breaking Bad,3,3,I.F.T.,7.9
Breaking Bad,3,4,Green Light,7.9
Breaking Bad,3,5,Más,8.1
Breaking Bad,3,6,Sunset,8.8
Breaking Bad,3,7,One Minute,9.2
Breaking Bad,3,8,I See You,7.9
Breaking Bad,3,9,Kafkaesque,7.9
Breaking Bad,3,10,Fly,7.3
Breaking Bad,3,11,Abiquiu,7.9
Breaking Bad,3,12,Half Measures,9.2
Breaking Bad,3,13,Full Measure,9.1
Breaking Bad,4,1,Box Cutter,8.2
Breaking Bad,4,2,Thirty-Eight Snub,7.8
Breaking Bad,4,3,Open House,7.3
Breaking Bad,4,4,Bullet Points,7.8
Breaking Bad,4,5,Shotgun,7.7
Breaking Bad,4,6,Cornered,7.8
Breaking Bad,4,7,Problem Dog,8.2
Breaking Bad,4,8,Hermanos,8.3
Breaking Bad,4,9,Bug,8.2
Breaking Bad,4,10,Salud,9.1
Breaking Bad,4,11,Crawl Space,9
Breaking Bad,4,12,End Times,9
Breaking Bad,4,13,Face Off,9.1
Breaking Bad,5,1,Live Free or Die,7.7
Breaking Bad,5,2,Madrigal,7.8
Breaking Bad,5,3,Hazard Pay,7.6
Breaking Bad,5,4,Fifty-One,7.4
Breaking Bad,5,5,Dead Freight,8.3
Breaking Bad,5,6,Buyout,7.8
Breaking Bad,5,7,Say My Name,8.3
Breaking Bad,5,8,Gliding Over All,8.9
Breaking Bad,5,9,Blood Money,8.3
Breaking Bad,5,10,Buried,7.9
Breaking Bad,5,11,Confessions,8.1
Breaking Bad,5,12,Rabid Dog,7.3
Breaking Bad,5,13,To'hajiilee,8.3
Breaking Bad,5,14,Ozymandias,9.1
Breaking Bad,5,15,Granite State,8.2
Breaking Bad,5,16,Felina,8
Game of Thrones,1,1,Winter is Coming,8.2
Game of Thrones,1,2,The Kingsroad,8.2
Game of Thrones,1,3,Lord Snow,8
Game of Thrones,1,4,"Cripples, Bastards, and Broken Things",8.2
Game of Thrones,1,5,The Wolf and the Lion,8.5
Game of Thrones,1,6,A Golden Crown,8.6
Game of Thrones,1,7,You Win or You Die,8.8
Game of Thrones,1,8,The Pointy End,8.2
Game of Thrones,1,9,Baelor,8.9
Game of Thrones,1,10,Fire and Blood,8.9
Game of Thrones,2,1,The North Remembers,8.2
Game of Thrones,2,2,The Night Lands,7.8
