"country","region","percapita_kg","total_mt","iso3"
"Norway","Europe",26.8,0.14,"NOR"
"United Kingdom","Europe",24.5,1.65,"GBR"
"Switzerland","Europe",23.4,0.2,"CHE"
"Australia","Oceania",22.4,0.58,"AUS"
"France","Europe",22.4,1.45,"FRA"
"Iceland","Europe",22.4,0.01,"ISL"
"Denmark","Europe",22.3,0.13,"DNK"
"Netherlands","Europe",22.1,0.39,"NLD"
"San Marino","Europe",22.1,0,"SMR"
"Belgium","Europe",21.7,0.25,"BEL"
"Hong Kong","Asia",21.6,0.16,"HKG"
"Finland","Europe",21.3,0.12,"FIN"
"United States","Americas",21.3,7.19,"USA"
"Germany","Europe",21.2,1.77,"DEU"
"Japan","Asia",21.2,2.64,"JPN"
"Sweden","Europe",21,0.22,"SWE"
"Luxembourg","Europe",20.9,0.01,"LUX"
"Aruba","Americas",20.7,0,"ABW"
"Ireland","Europe",20.6,0.1,"IRL"
"Singapore","Asia",20.3,0.12,"SGP"
"Canada","Americas",20.2,0.77,"CAN"
"Puerto Rico","Americas",20,0.06,"PRI"
"Brunei","Asia",19.9,0.01,"BRN"
"Austria","Europe",19.6,0.17,"AUT"
"Spain","Europe",19.6,0.94,"ESP"
"New Zealand","Oceania",19.6,0.1,"NZL"
"Taiwan","Asia",19.4,0.46,"TWN"
"Italy","Europe",19,1.12,"ITA"
"United Arab Emirates","Asia",18.9,0.18,"ARE"
"Greece","Europe",18.6,0.19,"GRC"
"Macao","Asia",18.5,0.01,"MAC"
"South Korea","Asia",17.9,0.93,"KOR"
"Bahrain","Asia",17.8,0.03,"BHR"
"Portugal","Europe",17.8,0.18,"PRT"
"Bahamas","Americas",17.7,0.01,"BHS"
"Saudi Arabia","Asia",17.1,0.62,"SAU"
"Slovenia","Europe",17,0.04,"SVN"
"Kuwait","Asia",16.7,0.07,"KWT"
"Czech Republic","Europe",16.5,0.17,"CZE"
"Israel","Asia",16.5,0.15,"ISR"
"Qatar","Asia",16.2,0.04,"QAT"
"Oman","Asia",15.7,0.07,"OMN"
"Slovakia","Europe",15.4,0.08,"SVK"
"Trinidad and Tobago","Americas",15.4,0.02,"TTO"
"Saint Kitts and Nevis","Americas",15,0,"KNA"
"Barbados","Americas",14.7,0,"BRB"
"Hungary","Europe",14.3,0.14,"HUN"
"Estonia","Europe",14.2,0.02,"EST"
"Malta","Europe",14.1,0.01,"MLT"
"Libya","Africa",13.8,0.09,"LBY"
