"country","continent","generated_mt","collected_mt","uncollected_mt","collection_rate"
"China","Asia",12.07,1.95,10.12,16
"United States","Americas",7.19,4.05,3.14,56
"India","Asia",4.14,0.06,4.08,1
"Japan","Asia",2.64,0.61,2.03,23
"Brazil","Americas",2.44,0.08,2.36,3
"Russia","Europe",1.91,0.12,1.79,6
"Indonesia","Asia",1.89,0,1.89,0
"Germany","Europe",1.77,0.96,0.81,54
"United Kingdom","Europe",1.65,0.5,1.15,30
"Mexico","Americas",1.5,0.05,1.45,4
"France","Europe",1.45,0.86,0.59,60
"Italy","Europe",1.12,0.46,0.66,41
"Turkey","Asia",1.08,0.19,0.89,17
"Spain","Europe",0.94,0.4,0.54,42
"South Korea","Asia",0.93,0.44,0.49,48
"Iran","Asia",0.82,0,0.82,0
"Canada","Americas",0.77,0.1,0.67,13
"Thailand","Asia",0.75,0.03,0.72,4
"Egypt","Africa",0.69,0,0.69,0
"Saudi Arabia","Asia",0.62,0,0.62,0
"Australia","Oceania",0.58,0.29,0.29,50
"Pakistan","Asia",0.56,0,0.56,0
"Philippines","Asia",0.54,0,0.54,0
"South Africa","Africa",0.53,0.02,0.51,4
"Argentina","Americas",0.52,0.01,0.51,3
