"iso3","country","pm25","water_access","sanitation_access","life_exp","population","continent","pm25_score","water_stress","sanit_stress","env_stress"
"AFG","Afghanistan",46.0870936659706,72.1820710205908,48.9056813120247,61.454,39068979,"Asia",54.1421801320098,27.8179289794092,51.0943186879753,44.3514759331314
"AGO","Angola",25.1452381976267,64.9440305436538,49.8016376564917,63.116,33451132,"Africa",29.5401143284379,35.0559694563462,50.1983623435083,38.2648153760975
"ALB","Albania",15.7070036417042,95.0680381522002,99.298792439378,77.824,2528480,"Europe",18.452268365345,4.9319618477998,0.701207560621995,8.02847925792227
"AND","Andorra",9.08028059086901,99.9999952180714,99.9999952180714,79.418,77380,"Europe",10.6673289264718,4.78192859532101e-06,4.78192859532101e-06,3.55577949677632
"ARE","United Arab Emirates",36.3055030826594,99.9999979225426,99.0960113749665,81.936,9401038,"Asia",42.6509664925121,2.07745739544407e-06,0.903988625033506,14.518319065001
"ARM","Armenia",30.5796334750125,99.4561137881716,92.7619845664061,73.3756097560976,2961500,"Asia",35.9243313534749,0.543886211828394,7.2380154335939,14.5687443329657
"ASM","American Samoa",6.71514739512663,99.7427169210217,62.1354996547904,72.672,49761,"Oceania",7.88881855981285,0.257283078978304,37.8645003452096,15.3368673280003
"ATG","Antigua and Barbuda",19.6982695582914,98.9224941519798,99.6041813873018,77.161,91846,"Americas",23.1411263735508,1.07750584802019,0.395818612698207,8.20481694475639
"AUS","Australia",8.25171746070811,99.9698157102474,100,83.2,25649248,"Oceania",9.6939498158459,0.0301842897525972,0,3.2413780351995
"AUT","Austria",10.9335136815146,99.9999975918171,99.9726022326155,81.1926829268293,8916864,"Europe",12.8444694627695,2.40818289398703e-06,0.0273977673844996,4.29062321277896
"AZE","Azerbaijan",21.7269999756599,94.1597003364215,94.4852164889199,70.312,10093121,"Asia",25.5244375993041,5.84029966357851,5.5147835110801,12.2931735913209
"BDI","Burundi",29.6541345084659,64.4028716190814,44.4548070620661,62.569,12617036,"Africa",34.8370739941384,35.5971283809186,55.5451929379339,41.993131770997
"BEL","Belgium",11.2160664677018,100,99.4862025266725,80.6951219512195,11538604,"Europe",13.1764067282744,0,0.5137974733275,4.56340140053395
"BEN","Benin",51.0478241974862,68.3129505616936,19.501704357901,60.154,13070169,"Africa",59.9699454489187,31.6870494383064,80.498295642099,57.385096843108
"BFA","Burkina Faso",58.4706762025055,50.3862637931321,27.7597483878875,60.454,21478690,"Africa",68.6901609882585,49.6137362068679,72.2402516121125,63.5147162690796
"BGD","Bangladesh",42.3813762359965,98.2725719690138,59.7111659386902,71.421,166298024,"Asia",49.7887786772305,1.7274280309862,40.2888340613098,30.6016802565088
"BGR","Bulgaria",17.1474236131426,99.2544596990953,86.0351484540034,73.3560975609756,6550696,"Europe",20.1444444466705,0.745540300904693,13.9648515459966,11.6182787645239
"BHR","Bahrain",58.4950629834781,99.9198990209829,100,78.683,1472204,"Asia",68.7188100824676,0.0801009790171037,0,22.9329703538282
