rank,country,children_bll_5_above,children_bll_5_lower,children_bll_5_upper,children_bll_10_above,children_bll_10_lower,children_bll_10_upper
79,India,275561163,242633715,309462889,64378274,49850518,82033908
126,Nigeria,43178214,22897294,68349470,7295704,2811434,15804939
131,Pakistan,41121401,21271107,65265365,7718106,2880748,16850708
14,Bangladesh,35527671,23639658,45959260,9675388,4207907,17832455
36,China,31237708,22945417,41910725,41133,,132356
54,Egypt,25402579,16992842,32721993,5994338,2534024,11346111
48,Democratic Republic of the Congo,23943664,12991380,34641958,5275931,1738077,11476988
138,Philippines,20024201,6771216,34771527,932894,32769,4367214
1,Afghanistan,19452102,18274876,20016234,12248563,8521159,15310596
60,Ethiopia,18028525,8393173,30561004,2738325,971062,6194661
111,Mexico,13856064,11107542,16961117,637721,429683,923151
193,Yemen,13796934,11647756,14861489,6895768,3802496,9978608
167,Sudan,12525390,7550683,16617314,3165459,1052544,6664349
125,Niger,12500267,11002269,13271618,6774183,4041648,9277497
81,Iran (Islamic Republic of),10291577,5058898,16424484,1712100,550034,4057976
106,Mali,9715463,7407368,11179194,3880528,1818826,6223184
27,Burkina Faso,9077888,6441902,10920624,3218541,1340372,5552306
80,Indonesia,8271863,5486754,11998982,17017,,58127
162,Somalia,8141711,5613810,9947692,2731229,1105507,4840500
34,Chad,7873733,6107127,8913448,3298713,1548238,5182799
31,Cameroon,7534476,4030583,11048855,1620490,534307,3586082
186,United Republic of Tanzania,7278659,3438673,13064052,985553,394413,2235313
137,Peru,7132941,3588904,10206503,867968,153795,2532764
121,Nepal,6719235,3934651,9331520,1741952,638139,3512007
117,Mozambique,5732981,2740667,9565358,927028,322040,2146321
195,Zimbabwe,5709835,4306145,6617160,2361645,1097113,3735569
82,Iraq,5410843,2855274,8862091,727281,301079,1566680
42,Côte d'Ivoire,5252219,2642258,8352664,964392,324885,2225641
182,Uganda,5243550,2463734,9534505,695697,283703,1577996
47,Democratic People's Republic of Korea,4875085,2499693,6314223,589871,40652,2023855
102,Madagascar,4850537,2339254,8152558,801784,277020,1911645
163,South Africa,4750794,2235464,8368352,692063,259962,1619975
5,Angola,4738129,2183204,8358612,691877,251283,1620559
118,Myanmar,4695777,1111990,10792839,84419,,465329
75,Haiti,4564819,3158146,5230944,1250092,272269,2740026
72,Guinea,4490705,2938292,5760738,1347908,517687,2574000
24,Brazil,4403642,3347298,5666961,98266,66158,142543
71,Guatemala,4249599,2046138,6330075,559874,89994,1651653
103,Malawi,3431433,1638020,5697855,562726,194393,1289147
192,Viet Nam,3242192,711362,8993910,22775,,154780
21,Bolivia (Plurinational State of),3231154,1685516,4414206,521801,84640,1449816
30,Cambodia,3171259,1177856,5174199,188670,7792,860159
19,Benin,3148829,1669885,4795096,607993,211459,1363161
145,Russian Federation,3113839,1424244,5928361,367890,178790,719439
28,Burundi,3053133,1604294,4622476,626214,207235,1425906
3,Algeria,2910421,1286116,5629753,335968,131464,819093
191,Venezuela (Bolivarian Republic of),2873401,1026749,5562780,171429,27145,591060
90,Kenya,2831808,2063095,3815927,326521,238535,445902
10,Western Europe,2474105,1392822,4499437,294198,186147,494057
164,South Sudan,2326421,1207126,3587487,451970,152387,1039253
