Entity,Code,Year,Marine coatings,Road marking coatings,Elastomers tyres,"AB, ASA, SAN",Other,Fibres,PUR,PVC,Bioplastics,PS,"LLDPE, LLDPE",PP,PET,HDPE
World,OWID_WRL,1990,163000,195000,2172000,2683000,23554000,16514000,5371000,14701000,693000,6353000,15666000,20804000,6647000,14371000
World,OWID_WRL,1991,169000,203000,2259000,2781000,24437000,17186000,5567000,15250000,718000,6582000,16250999,21585000,6916000,14967000
World,OWID_WRL,1992,180000,215000,2408000,2956000,25990000,18336000,5915000,16216999,764000,6991000,17281000,22960000,7376000,15980000
World,OWID_WRL,1993,187000,224000,2515000,3077000,27074000,19159000,6155000,16891000,795000,7273000,17999000,23921000,7706000,16709999
World,OWID_WRL,1994,205000,246000,2767000,3375000,29718000,21095000,6750000,18537000,872000,7972000,19754000,26262000,8482000,18411000
World,OWID_WRL,1995,213000,256000.02,2880000,3502000,30861000,21973000,7002000,19246000,905000,8267000,20510000,27278000,8833000,19190000
World,OWID_WRL,1996,228000,274000,3096000,3753000,33092998,23634000,7502000,20634000,970000,8853000,21990000,29259000,9499000,20655000
World,OWID_WRL,1997,245000,295000,3333000,4028000,35550000,25465000,8050999.5,22160000,1041000,9498000,23619000,31440000,10233000,22270000
World,OWID_WRL,1998,257000,308000,3493000,4209000,37171000,26706000,8409000,23164000,1088000,9917000,24692000,32883998,10729000,23369000
World,OWID_WRL,1999,276000,331000,3765000,4523000,39972000,28805000,9034000,24903000,1169000,10650000,26549000,35376000,11570000,25222000
World,OWID_WRL,2000,290000,349000,3972000,4757000,42071000,30407000,9500000,26202000,1230000,11194000,27938000,37248000,12211000,26641000
World,OWID_WRL,2001,297000,357000,4078000,4869000,43094000,31239000,9721000,26831000,1259000,11451000,28612000,38170000,12543000,27385000
World,OWID_WRL,2002,316000,380000,4349000,5177000,45852000,33335998,10333000,28538000,1339000,12167000,30438000,40632000,13382000,29240000
World,OWID_WRL,2003,329000,396000,4540000,5388000,47758000,34823000,10753000,29713000,1394000,12656000,31697000,42341000,13976000,30561000
World,OWID_WRL,2004,350000,421000,4839000,5727000,50796000,37146000,11426000,31590000,1481000,13443000,33708000,45058000,14906000,32617000
World,OWID_WRL,2005,360000,433000,4987000,5885000,52235000,38308000,11738000,32471000,1522000,13805000,34656000,46361000,15370000,33656000
World,OWID_WRL,2006,383000,460000,5314000,6252000,55531000,40843000,12467000,34505000,1617000,14656000,36837000,49315000,16385000,35901000
World,OWID_WRL,2007,404000,486000,5623000,6597000,58638000,43251000,13152000,36419000,1707000,15456000,38890000,52107000,17348000,38037000
World,OWID_WRL,2008,385000,463000,5370000,6281000,55873000,41329000,12520000,34685000,1626000,14707000,37049000,49682000,16575001,36364000
World,OWID_WRL,2009,395000,475000,5519000,6437000,57299000,42504000,12827000,35552000,1666000,15063000,37988000,50985000,17043000,37415000
World,OWID_WRL,2010,429000,515000,6010000,6979000,62183000,46351000,13906000,38565000,1807000,16320000,41196000,55357000,18537000,40725000
World,OWID_WRL,2011,446000,536000,6274000,7254000,64684000,48448000,14449000,40098000,1879000,16950000,42823000,57614000,19325000,42489000
World,OWID_WRL,2012,463000,556000,6532000,7520000,67117000,50511000,14977000,41587000,1949000,17560000,44402000,59815000,20096000,44216000
World,OWID_WRL,2013,483000,579000,6833000,7833000,69973000,52910000,15597000,43334000,2030999.9,18279000,46259000,62397000,20997000,46232000
World,OWID_WRL,2014,492000,589000,6977000,7963000,71200000,54091000,15854000,44071000,2065000,18570000,47037000,63531000,21413000,47178000
World,OWID_WRL,2015,500000,600000,7100000,8100000.5,72603000,55362000,16125999,45260000,2100000,18898000,48377000,65416000,22514000,49796000
World,OWID_WRL,2016,501999.97,607000,7164000,8187999.5,73617000,56300000,16358999,46093000,2141000,19229000,49340000,66630996,22993000,50806000
World,OWID_WRL,2017,509000,630000,7300000,8402000,75795000,57534000,16868000,47812000,2199000,19820000,50865000,68522000,23607000,52322000
World,OWID_WRL,2018,524000,657000,7522000,8679000,78511000,58926000,17485000,49751000,2262000,20486000,52569000,70652000,24238000,53937000
World,OWID_WRL,2019,541000,682000,7734000,8944000,80960000,60448000,18032000,51392000,2326000,21116000,54303000,72805000,24918000,55544000
