year,lead_ng_g
1772,0.00481428
1773,0.00594122
1774,0.0141341
1775,0.00950036
1776,0.00811591
1777,0.0066644
1778,0.0105004
1779,0.0119884
1780,0.00800132
1781,0.00873804
1782,0.0074378
1783,0.0137111
1784,0.00891317
1785,0.00893766
1786,0.00930194
1787,0.00793164
1788,0.00815525
1789,0.012761
1790,0.0168989
1791,0.0162327
1792,0.0107227
1793,0.0116751
1794,0.0159742
1795,0.0112039
1796,0.00780198
1797,0.00577196
1798,0.00601868
1799,0.00587788
1800,0.00724264
1801,0.0117175
1802,0.00890944
1803,0.00648635
1804,0.00617144
1805,0.00613577
1806,0.00846434
1807,0.00409305
1808,0.0091015
1809,0.00699252
1810,0.0131635
1811,0.00849137
1812,0.0060877
1813,0.0129082
1814,0.0238096
1815,0.00672255
1816,0.00942155
1817,0.0073693
1818,0.00903767
1819,0.0090699
1820,0.00941319
1821,0.0138999
1822,0.00353616
1823,0.00809992
1824,0.00833921
1825,0.00685439
1826,0.0063113
1827,0.0118065
1828,0.016342
1829,0.00620397
1830,0.0125681
1831,0.00777113
1832,0.00661841
1833,0.0196497
1834,0.0132233
1835,0.0245286
1836,0.00894551
1837,0.0184467
1838,0.0095137
1839,0.0105804
1840,0.0171375
1841,0.013205
1842,0.0118206
1843,0.00884133
1844,0.0112171
1845,0.0081404
1846,0.0107893
1847,0.00857249
1848,0.0103015
1849,0.0083296
1850,0.0217401
1851,0.0142772
1852,0.011189
1853,0.0125561
1854,0.0094133
1855,0.0082712
1856,0.00948242
1857,0.00785693
1858,0.00767127
1859,0.0103701
1860,0.00839661
1861,0.0552057
1862,0.0159863
1863,0.011356
1864,0.0286046
1865,0.0134751
1866,0.0150972
1867,0.0121271
1868,0.00941058
1869,0.0164297
1870,0.0236668
1871,0.0223571
1872,0.0183481
1873,0.0215842
1874,0.0114594
1875,0.0219715
1876,0.0286706
1877,0.0228884
1878,0.0164649
1879,0.0323923
1880,0.0427649
1881,0.0489528
1882,0.0378393
1883,0.0411076
1884,0.0417574
1885,0.0275802
1886,0.0502688
1887,0.0839982
1888,0.0724327
1889,0.0994244
1890,0.13713
1891,0.0547202
1892,0.114557
1893,0.198466
1894,0.0740209
1895,0.0274419
1896,0.0305747
1897,0.0299757
1898,0.153665
1899,0.090653
1900,0.0889051
1901,0.0285233
1902,0.127787
1903,0.102473
1904,0.0858105
1905,0.163683
1906,0.115233
1907,0.0481044
1908,0.0889101
1909,0.0708418
1910,0.0885881
1911,0.177862
1912,0.0828952
1913,0.0776066
1914,0.213019
1915,0.302669
1916,0.0947757
1917,0.0807048
1918,0.0651715
1919,0.0713188
1920,0.059644
1921,0.0460393
1922,0.0474584
1923,0.0405263
1924,0.0647731
1925,0.0573082
1926,0.0458276
1927,0.0668496
1928,0.113896
1929,0.0638451
1930,0.0554072
1931,0.0336966
1932,0.0456324
1933,0.0367162
1934,0.0429286
1935,0.109286
1936,0.0758041
1937,0.0488666
1938,0.0506576
1939,0.0688847
1940,0.0614148
1941,0.0624222
1942,0.0755562
1943,0.221095
1944,0.0700678
1945,0.0586183
1946,0.133441
1947,0.102279
1948,0.0784531
1949,0.0597451
1950,0.422547
1951,0.120676
1952,0.134539
1953,0.147335
1954,0.112734
1955,0.190428
1956,0.207699
1957,0.176988
1958,0.273282
1959,0.267142
1960,0.123212
1961,0.187099
1962,0.16112
1963,0.135876
1964,0.124831
1965,0.136386
1966,0.127742
1967,0.34904
1968,0.241961
1969,0.334526
1970,0.33969
1971,0.135181
1972,0.110884
1973,0.0995065
1974,0.151346
1975,0.226143
1976,0.240117
1977,0.131417
1978,0.118387
1979,0.198757
1980,0.113043
1981,0.0979715
1982,0.0609473
1983,0.0474113
1984,0.0528109
1985,0.0893891
1986,0.0401462
1987,0.032922
1988,0.0381812
1989,0.0288745
1990,0.0249661
1991,0.0188711
1992,0.0237025
1993,0.020011
1994,0.0178767
1995,0.0336963
1996,0.030971
1997,0.0450326
1998,0.0229745
1999,0.0255451
2000,0.0250761
2001,0.0296336
2002,0.0140607
