pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist
"Kepler-1167 b",2016,"Transit",1.71000000,3.57000000,1.00393373900,820.90500000
"Kepler-1740 b",2021,"Transit",3.32321414,11.00000000,8.17240047500,1061.77000000
"Kepler-1581 b",2016,"Transit",0.80000000,0.43700000,6.28385491000,493.17500000
"Kepler-644 b",2016,"Transit",3.15000000,10.10000000,3.17391710300,1318.05000000
"Kepler-1752 b",2021,"Transit",4.54060463,18.70000000,56.35850143000,962.88800000
"Kepler-280 c",2014,"Transit",2.01000000,4.70000000,4.80709100000,780.36100000
"Kepler-1208 b",2016,"Transit",2.32000000,5.99000000,11.08507637000,825.17600000
"Kepler-263 c",2014,"Transit",2.47000000,6.66000000,47.33277300000,754.74700000
"Kepler-1101 b",2016,"Transit",2.47000000,6.66000000,81.31510590000,742.47300000
"HD 168746 b",2002,"Radial Velocity",11.10000000,85.81410000,6.40400000000,41.56810000
"WASP-107 c",2020,"Radial Velocity",13.00000000,111.23994245,1066.00000000000,64.74140000
"Kepler-560 b",2016,"Transit",1.72000000,3.61000000,18.47764449000,109.30800000
"Kepler-150 d",2014,"Transit",2.79000000,8.20000000,12.56093000000,891.09200000
"Kepler-498 b",2016,"Transit",3.03000000,9.43000000,9.61375356000,938.84400000
"Kepler-817 b",2016,"Transit",9.03000000,60.20000000,3.99010622900,1484.46000000
"Kepler-937 b",2016,"Transit",3.72000000,13.40000000,67.66882700000,1571.46000000
"K2-10 b",2015,"Transit",3.77300000,25.20000000,19.30553000000,272.36000000
"Kepler-571 b",2016,"Transit",2.64000000,7.46000000,4.79859938800,723.87500000
"Kepler-1458 b",2016,"Transit",2.76000000,8.05000000,47.98727640000,544.45000000
"K2-335 b",2021,"Transit",2.21000000,5.52000000,12.28321100000,557.99300000
"Kepler-1600 c",2021,"Transit",1.94206512,4.43000000,7.29804992700,1030.81000000
"Kepler-221 d",2014,"Transit",2.73000000,3.61000000,10.04156000000,385.23100000
"Kepler-626 b",2016,"Transit",2.29000000,5.86000000,14.48585199000,635.64300000
"Kepler-1549 b",2016,"Transit",2.57000000,7.13000000,214.88654500000,803.05200000
"K2-62 c",2016,"Transit",1.99000000,4.62000000,16.19697000000,112.46700000
"Kepler-1149 b",2016,"Transit",1.44000000,2.67000000,3.73089898000,1217.73000000
"Kepler-1288 b",2016,"Transit",1.12000000,1.46000000,2.76122421000,814.07800000
