model,series,year,value,lo80,hi80,lo95,hi95
UN WPP 2024,historical,1949,2.471424002,,,,
UN WPP 2024,historical,1950,2.514761693,,,,
UN WPP 2024,historical,1951,2.559092377,,,,
UN WPP 2024,historical,1952,2.609080302,,,,
UN WPP 2024,historical,1953,2.659132169,,,,
UN WPP 2024,historical,1954,2.712657551,,,,
UN WPP 2024,historical,1955,2.767770034,,,,
UN WPP 2024,historical,1956,2.823049954,,,,
UN WPP 2024,historical,1957,2.88218672,,,,
UN WPP 2024,historical,1958,2.940312621,,,,
UN WPP 2024,historical,1959,2.991588081,,,,
UN WPP 2024,historical,1960,3.039353708,,,,
UN WPP 2024,historical,1961,3.090385641,,,,
UN WPP 2024,historical,1962,3.156362989,,,,
UN WPP 2024,historical,1963,3.229252666,,,,
UN WPP 2024,historical,1964,3.299722013,,,,
UN WPP 2024,historical,1965,3.369345394,,,,
UN WPP 2024,historical,1966,3.438736856,,,,
UN WPP 2024,historical,1967,3.508088904,,,,
UN WPP 2024,historical,1968,3.582285598,,,,
UN WPP 2024,historical,1969,3.656697561,,,,
UN WPP 2024,historical,1970,3.732670026,,,,
UN WPP 2024,historical,1971,3.807025705,,,,
UN WPP 2024,historical,1972,3.882809654,,,,
UN WPP 2024,historical,1973,3.95880043,,,,
UN WPP 2024,historical,1974,4.034031762,,,,
UN WPP 2024,historical,1975,4.107438793,,,,
UN WPP 2024,historical,1976,4.181053962,,,,
UN WPP 2024,historical,1977,4.25467363,,,,
UN WPP 2024,historical,1978,4.329521373,,,,
UN WPP 2024,historical,1979,4.407557683,,,,
UN WPP 2024,historical,1980,4.48765479,,,,
UN WPP 2024,historical,1981,4.569899823,,,,
UN WPP 2024,historical,1982,4.655447019,,,,
UN WPP 2024,historical,1983,4.739208128,,,,
UN WPP 2024,historical,1984,4.82514291,,,,
UN WPP 2024,historical,1985,4.912744021,,,,
UN WPP 2024,historical,1986,5.003401655,,,,
UN WPP 2024,historical,1987,5.09609114,,,,
UN WPP 2024,historical,1988,5.187893944,,,,
UN WPP 2024,historical,1989,5.28096952,,,,
UN WPP 2024,historical,1990,5.3746367,,,,
UN WPP 2024,historical,1991,5.462835083,,,,
UN WPP 2024,historical,1992,5.549144549,,,,
UN WPP 2024,historical,1993,5.633945045,,,,
UN WPP 2024,historical,1994,5.717157466,,,,
UN WPP 2024,historical,1995,5.800600498,,,,
UN WPP 2024,historical,1996,5.883510969,,,,
UN WPP 2024,historical,1997,5.966064664,,,,
UN WPP 2024,historical,1998,6.048068715,,,,
UN WPP 2024,historical,1999,6.129943964,,,,
UN WPP 2024,historical,2000,6.213462023,,,,
UN WPP 2024,historical,2001,6.296410896,,,,
UN WPP 2024,historical,2002,6.379049788,,,,
UN WPP 2024,historical,2003,6.461673479,,,,
UN WPP 2024,historical,2004,6.545082065,,,,
UN WPP 2024,historical,2005,6.628858198,,,,
UN WPP 2024,historical,2006,6.714045833,,,,
UN WPP 2024,historical,2007,6.80057173,,,,
UN WPP 2024,historical,2008,6.888343594,,,,
UN WPP 2024,historical,2009,6.977189237,,,,
UN WPP 2024,historical,2010,7.066275059,,,,
UN WPP 2024,historical,2011,7.155572472,,,,
UN WPP 2024,historical,2012,7.246832497,,,,
UN WPP 2024,historical,2013,7.336754673,,,,
UN WPP 2024,historical,2014,7.426477815,,,,
UN WPP 2024,historical,2015,7.514505928,,,,
UN WPP 2024,historical,2016,7.602603123,,,,
UN WPP 2024,historical,2017,7.688632785,,,,
UN WPP 2024,historical,2018,7.771172776,,,,
UN WPP 2024,historical,2019,7.851414621,,,,
