year,pop_median,source,pop_80l,pop_80u,pop_95l,pop_95u,pop_low,pop_high
1949,2471424.002,historical,,,,,,
1950,2514761.693,historical,,,,,,
1951,2559092.377,historical,,,,,,
1952,2609080.302,historical,,,,,,
1953,2659132.169,historical,,,,,,
1954,2712657.551,historical,,,,,,
1955,2767770.034,historical,,,,,,
1956,2823049.954,historical,,,,,,
1957,2882186.72,historical,,,,,,
1958,2940312.621,historical,,,,,,
1959,2991588.081,historical,,,,,,
1960,3039353.708,historical,,,,,,
1961,3090385.641,historical,,,,,,
1962,3156362.989,historical,,,,,,
1963,3229252.666,historical,,,,,,
1964,3299722.013,historical,,,,,,
1965,3369345.394,historical,,,,,,
1966,3438736.856,historical,,,,,,
1967,3508088.904,historical,,,,,,
1968,3582285.598,historical,,,,,,
1969,3656697.561,historical,,,,,,
1970,3732670.026,historical,,,,,,
1971,3807025.705,historical,,,,,,
1972,3882809.654,historical,,,,,,
1973,3958800.43,historical,,,,,,
1974,4034031.762,historical,,,,,,
1975,4107438.793,historical,,,,,,
1976,4181053.962,historical,,,,,,
1977,4254673.63,historical,,,,,,
1978,4329521.373,historical,,,,,,
1979,4407557.683,historical,,,,,,
1980,4487654.79,historical,,,,,,
1981,4569899.823,historical,,,,,,
1982,4655447.019,historical,,,,,,
1983,4739208.128,historical,,,,,,
1984,4825142.91,historical,,,,,,
1985,4912744.021,historical,,,,,,
1986,5003401.655,historical,,,,,,
1987,5096091.14,historical,,,,,,
1988,5187893.944,historical,,,,,,
1989,5280969.52,historical,,,,,,
1990,5374636.7,historical,,,,,,
1991,5462835.083,historical,,,,,,
1992,5549144.549,historical,,,,,,
1993,5633945.045,historical,,,,,,
1994,5717157.466,historical,,,,,,
1995,5800600.498,historical,,,,,,
1996,5883510.969,historical,,,,,,
1997,5966064.664,historical,,,,,,
1998,6048068.715,historical,,,,,,
1999,6129943.964,historical,,,,,,
2000,6213462.023,historical,,,,,,
2001,6296410.896,historical,,,,,,
2002,6379049.788,historical,,,,,,
2003,6461673.479,historical,,,,,,
2004,6545082.065,historical,,,,,,
2005,6628858.198,historical,,,,,,
2006,6714045.833,historical,,,,,,
2007,6800571.73,historical,,,,,,
2008,6888343.594,historical,,,,,,
2009,6977189.237,historical,,,,,,
2010,7066275.059,historical,,,,,,
2011,7155572.472,historical,,,,,,
2012,7246832.497,historical,,,,,,
2013,7336754.673,historical,,,,,,
2014,7426477.815,historical,,,,,,
2015,7514505.928,historical,,,,,,
2016,7602603.123,historical,,,,,,
2017,7688632.785,historical,,,,,,
2018,7771172.776,historical,,,,,,
2019,7851414.621,historical,,,,,,
2020,7922587.963,historical,,,,,,
2021,7986308.82,historical,,,,,,
2022,8056505.564,historical,,,,,,
2023,8126964.296,historical,,,,,,
2024,8196980.84900001,projection,8193342.404,8200765.122,8191304.756,8202563.887,8182430.618,8211530.616
2025,8266245.291,projection,8258592.354,8274120.16,8254131.544,8278111.411,8237153.894,8295335.053
2026,8335111.5,projection,8323105.275,8347292.984,8316088.652,8353881.803,8291448.036,8378772.233
2027,8403077.189,projection,8386601.694,8419679.133,8376377.337,8428252.899,8344798.58,8461353.709
2028,8470160.584,projection,8448975.92,8491593.317,8436186.374,8503124.344,8397214.481,8543109.3
