cause,category,rank_2010,dalys_2010,rank_2020,dalys_2020,rank_2021,dalys_2021
Neonatal disorders,CMNN,1,236.3,1,192.8,3,186.3
Ischemic heart disease,NCD,2,169.9,2,185.1,2,188.3
Stroke,NCD,3,144.3,3,158.2,4,160.4
Lower respiratory infections,CMNN,4,127.3,5,88.2,5,82.5
Diarrheal diseases,CMNN,5,104.1,10,61.6,11,59.3
Road injuries,Injuries,6,74.3,9,65.1,10,65.1
HIV/AIDS,CMNN,7,67.8,22,42.3,24,40.3
Congenital defects,CMNN,8,67.5,13,54.5,14,52.3
COPD,NCD,9,67.0,6,78.4,6,79.8
Malaria,CMNN,10,66.4,11,55.4,13,55.2
COVID-19,CMNN,,,4,123.4,1,212.0
Diabetes,NCD,,,7,76.5,7,78.9
Low back pain,NCD,,,8,69.3,9,70.2
Other COVID outcomes,CMNN,,,,,8,77.4
